City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
136,kununurra,-15.7667,128.7333,301.14,89,59,1.54,AU,2024-12-31
137,kingston,17.997,-76.7936,301.02,74,20,2.06,JM,2024-12-31
138,mashhad,36.297,59.6062,278.23,81,100,3.09,IR,2024-12-31
139,arboletes,8.8505,-76.4269,300.39,77,65,3.02,CO,2024-12-31
140,tamanrasset,22.785,5.5228,294.1,11,0,3.09,DZ,2024-12-31
141,al kharj,24.155,47.3346,293.47,49,100,5.52,SA,2024-12-31
142,boa vista,2.8197,-60.6733,304.14,55,75,6.69,BR,2024-12-31
143,rawson,-43.3002,-65.1023,294.06,23,2,8.71,AR,2024-12-31
144,guangyuan,32.442,105.823,279.5,76,34,1.31,CN,2024-12-31
145,kailua-kona,19.6406,-155.9956,295.7,76,0,1.54,US,2024-12-31
146,san julian,21.0167,-102.1667,287.0,32,11,1.0,MX,2024-12-31
147,fort bragg,35.139,-79.006,285.32,89,40,3.09,US,2024-12-31
148,uturoa,-16.7333,-151.4333,300.83,70,45,1.6,PF,2024-12-31
149,howard springs,-12.497,131.047,299.1,97,95,1.57,AU,2024-12-31
150,malanje,-9.5402,16.341,296.59,82,96,2.39,AO,2024-12-31
151,salinas victoria,25.95,-100.2833,292.77,20,0,3.6,MX,2024-12-31
152,viljandi,58.3639,25.59,272.26,74,100,3.61,EE,2024-12-31
153,wenling,28.3669,121.36,280.05,59,0,3.84,CN,2024-12-31
154,valparaiso,-33.0393,-71.6273,295.08,58,0,5.66,CL,2024-12-31
155,geraldton,-28.7667,114.6,296.38,83,100,3.09,AU,2024-12-31
156,posto fiscal rolim de moura,-13.0833,-62.2667,305.19,54,100,2.1,BR,2024-12-31
157,petropavlovsk-kamchatsky,53.0452,158.6483,260.25,84,86,5.63,RU,2024-12-31
158,yemetsk,63.4721,41.7941,269.31,91,100,5.29,RU,2024-12-31
159,pangkalpinang,-2.1333,106.1333,298.76,88,94,2.31,ID,2024-12-31
160,porbandar,21.6422,69.6093,296.62,34,0,4.06,IN,2024-12-31
161,redencao,-4.2258,-38.7306,309.26,33,68,5.39,BR,2024-12-31
162,zemio,5.0314,25.1361,308.75,14,60,2.85,CF,2024-12-31
163,bolotnoye,55.6717,84.3981,253.27,100,81,2.5,RU,2024-12-31
164,el calafate,-50.3408,-72.2768,288.46,66,84,4.34,AR,2024-12-31
165,la ronge,55.1001,-105.2842,256.27,78,100,6.17,CA,2024-12-31
166,kuraymah,18.55,31.85,296.01,17,10,6.97,SD,2024-12-31
167,cidreira,-30.1811,-50.2056,297.27,78,19,7.14,BR,2024-12-31
168,fuji,35.1667,138.6833,277.47,54,2,3.0,JP,2024-12-31
169,nemuro,43.3236,145.575,271.43,89,100,11.34,JP,2024-12-31
170,olonkinbyen,70.9221,-8.7187,267.36,64,100,8.91,SJ,2024-12-31
171,panjab,34.388,67.0233,262.23,94,97,1.95,AF,2024-12-31
172,visby,57.6409,18.296,275.27,60,100,3.09,SE,2024-12-31
173,hengchun,22.0042,120.7439,290.89,83,100,11.36,TW,2024-12-31
174,jackson,42.4165,-122.8345,273.75,95,100,2.06,US,2024-12-31
175,tadmur,34.5608,38.2805,282.47,68,33,0.97,SY,2024-12-31
176,tralee,52.2704,-9.7026,283.29,100,100,9.26,IE,2024-12-31
177,labuan,5.2767,115.2417,300.98,83,100,0.89,MY,2024-12-31
178,bonthe,7.5264,-12.505,305.31,44,17,5.27,SL,2024-12-31
179,tasgaon,17.0333,74.6,297.83,40,0,4.48,IN,2024-12-31
180,port shepstone,-30.7414,30.455,297.42,88,100,8.47,ZA,2024-12-31
181,weno,7.4515,151.8468,300.12,78,100,2.06,FM,2024-12-31
182,tarcento,46.2122,13.2258,282.87,62,0,0.14,IT,2024-12-31
183,titabar,26.6,94.2,288.89,69,0,1.49,IN,2024-12-31
184,mana,5.6592,-53.7767,300.91,75,68,4.46,GF,2024-12-31
185,saint-philippe,-21.3585,55.7679,299.24,81,47,3.85,RE,2024-12-31
186,caconda,-13.7333,15.0667,298.41,49,36,1.68,AO,2024-12-31
187,kolonia town,6.964,158.206,298.15,94,75,0.0,FM,2024-12-31
188,touros,-5.1989,-35.4608,303.9,59,27,6.68,BR,2024-12-31
189,rio grande,-32.035,-52.0986,296.92,73,48,7.83,BR,2024-12-31
190,dongola,19.1667,30.4833,295.24,19,2,8.08,SD,2024-12-31
191,okakarara,-20.5833,17.4333,305.66,25,92,4.1,NA,2024-12-31
192,rohatyn,49.409,24.6093,275.26,64,87,1.75,UA,2024-12-31
193,porto novo,6.4965,2.6036,304.53,55,4,5.91,BJ,2024-12-31
194,codrington,-38.2667,141.9667,284.98,80,0,1.73,AU,2024-12-31
195,luebo,-5.35,21.4167,304.81,46,91,1.99,CD,2024-12-31
196,cabedelo,-6.9811,-34.8339,304.52,61,84,5.7,BR,2024-12-31
197,ust'-kalmanka,52.1207,83.305,254.39,99,72,1.6,RU,2024-12-31
198,tommot,58.9564,126.2925,246.34,100,100,0.58,RU,2024-12-31
199,mount gambier,-37.8333,140.7667,282.92,89,0,1.5,AU,2024-12-31
200,abbeville,50.1,1.8333,278.42,77,100,6.61,FR,2024-12-31
201,archbald,41.4948,-75.5369,278.16,82,9,1.34,US,2024-12-31
202,mahebourg,-20.4081,57.7,300.31,74,40,7.2,MU,2024-12-31
203,commerce,34.0006,-118.1598,284.94,94,100,2.06,US,2024-12-31
204,arraial do cabo,-22.9661,-42.0278,301.07,69,20,4.12,BR,2024-12-31
205,saldanha,-33.0117,17.9442,292.94,65,0,6.1,ZA,2024-12-31
206,saint-maximin-la-sainte-baume,43.4521,5.8622,283.39,56,0,0.36,FR,2024-12-31
207,amungan,15.3652,119.9582,300.11,75,68,1.78,PH,2024-12-31
208,alofi,-19.0595,-169.9187,297.09,94,64,1.54,NU,2024-12-31
209,aykhal,66.0,111.5,242.65,100,100,2.36,RU,2024-12-31
210,isnos,1.9356,-76.2406,288.73,97,100,1.15,CO,2024-12-31
211,selfoss,63.9331,-20.9971,263.03,77,98,4.59,IS,2024-12-31
212,saurimo,-9.6608,20.3916,296.3,88,81,2.41,AO,2024-12-31
213,inarajan village,13.2736,144.7484,300.59,86,90,6.16,GU,2024-12-31
214,bratsk,56.1325,101.6142,263.42,89,100,5.09,RU,2024-12-31
215,dryden,49.7833,-92.7503,265.31,93,100,4.12,CA,2024-12-31
216,la gi,10.6667,107.7833,297.41,85,100,1.06,VN,2024-12-31
217,newman,37.3138,-121.0208,276.51,63,0,2.42,US,2024-12-31
218,dudinka,69.4058,86.1778,260.49,91,100,11.91,RU,2024-12-31
219,polyarnyy,69.1989,33.4478,271.92,78,100,9.13,RU,2024-12-31
220,praya,14.9215,-23.5087,302.45,45,0,7.2,CV,2024-12-31
221,thinadhoo,0.5333,72.9333,300.29,71,7,5.09,MV,2024-12-31
222,vilyuchinsk,52.9306,158.4028,259.92,82,78,4.77,RU,2024-12-31
223,coahuayana de hidalgo,18.7,-103.6583,296.93,59,36,1.28,MX,2024-12-31
224,sussex,41.1834,-74.6663,280.57,73,4,0.45,US,2024-12-31
225,zhangjiakou shi xuanhua qu,40.6103,115.0447,268.89,49,5,2.41,CN,2024-12-31
226,lastoursville,-0.8143,12.7287,306.36,42,100,0.57,GA,2024-12-31
227,namibe,-15.1961,12.1522,298.91,68,70,4.79,AO,2024-12-31
228,menaka,15.9182,2.4022,306.12,9,0,4.01,ML,2024-12-31
229,bamboo flat,11.7,92.7167,300.2,78,75,4.63,IN,2024-12-31
230,whitehorse,60.7161,-135.0538,256.58,85,100,1.54,CA,2024-12-31
231,uberaba,-19.7483,-47.9319,297.09,75,87,2.65,BR,2024-12-31
232,deir ez-zor,35.3359,40.1408,285.88,59,68,1.2,SY,2024-12-31
233,karasburg,-28.0167,18.75,306.2,12,0,8.13,NA,2024-12-31
234,nefta,33.8731,7.8777,289.93,52,100,8.49,TN,2024-12-31
235,puerto carreno,6.189,-67.4859,304.14,58,0,3.09,CO,2024-12-31
